㒵	かお
碼	ば,め,やあど,やある
碽	こう,く
碾	てん,ひ,う
碿	そつ,そち,みが
磁	じ
磅	ぼう,ほう,ぽんど
磆	かつ
磇	ひ,へい
磈	い,き,かい,けわ
磉	そう,いしずえ
磊	らい
磋	さ,みが
磌	てん,しん
磎	けい,たに,たにがわ
磐	ばん,はん,いわ
磑	がい,う
磒	いん,えん,うん,おち
磓	たい,て,つい,ずい,お,う
磔	たく,ちゃく,さ,はりつけ,ひらく
磕	かい,こう,かつ,かち
磖	ろう
磚	せん,かわら
磛	さん,せん,けわ
磟	りく,ろく
磠	ろ,すな
磡	かん,こん
磤	いん,おん
磦	ひょう,みね
磧	せき,かわら
磨	ま,みが,す
磪	さい,すい,けわ
磬	けい
磯	き,いそ
磲	きょ,ご
磳	そう,じょう,いし
磴	とう
磶	せき,しゃく,いしずえ
磷	りん,ろう,りょう,なが,うすい,うす
磺	こう,あらがね
磻	はん,は,いし
磽	こう,きょう
磿	れき,りゃく
礀	かん,けん,たに
礁	しょう
礆	けん,けわ
礇	いく
礌	らい,お
礎	そ,いしずえ
礐	かく,こく
礑	とう,はた,はたと
礒	ぎ,が,いそ,いわお
礙	がい,げ,さまた
礚	かい
礜	よ
礞	ぼう,む,いし
礟	ほ,ほう,いしはじき
礠	じ
礥	きん,けん,むつか
礦	こう,あらがね
礧	らい,るい
礩	しつ,しち,いしずえ
礪	れい,あらと,みが
礫	れき,つぶて,こいし
礬	ばん,はん
礭	かく,むち
礱	ろう,る,と
礴	はく,ま
礵	そう,ひそ
示	じ,し,しめ
礻	し
礼	れい,らい
礽	じょう,にょう,さいわ
社	しゃ,やしろ
礿	やく,よう,まつり
祀	し,まつ,まつり
祁	き,け
祄	かい,たす
祅	よう,わざわ
祆	けん,てん
祇	ぎ,き,し,くにつかみ,ただ,まさに
祈	き,いの
祉	し
祊	ほう,ひょう,まつり
祋	たい,たつ,たち,ほこ
祏	せき,じゃく,いはい
祐	ゆう,う,たす
祑	ちつ,じち
祓	ふつ,はい,はら
祔	ふ,あわせまつ
祕	ひ,かく
祖	そ
祗	し,つつし,まさに
祘	さん,かぞ
祚	そ,くら,さいわ
祛	きょ,こ,はら
祜	こ,さいわ
祝	しゅく,しゅう,いわ
神	しん,じん,かみ,かん,こう
祟	すい,たた
祠	し,ほこら,まつる
祢	ね,でい,ない
祥	しょう,さいわ,きざ,よ,つまび
祧	ちょう
票	ひょう
祩	しゅ,ちゅ,のろ
祫	こう,ぎょう,まつ
祭	さい,まつ,まつり
祲	しん
祷	とう,いの,まつ
祹	とう,さいわ
祺	き,さいわ,やす
祻	こ,く,まつり
祼	かん,まつり
祾	りょう,ろう,いつく
祿	ろく,さいわ,ふち
禀	りん,ひん,こめぐら
禁	きん
禄	ろく,さいわ,ふち
禅	ぜん,せん,しずか,ゆず
禊	けい,かつ,みそぎ,はら
禋	いん,えん,まつ
禌	し,いこ
禍	か,わざわい
禎	てい,さいわ
福	ふく
禑	ぐ,ご,さいわ
禓	よう,しょう,まつり
禔	し,てい,だい,さいわ
禕	い,よい
禖	ばい,まい
禘	てい,だい,まつり
禛	しん,う
禜	えい,よう
禝	しょく,きび
禡	ば,め,まつり
禦	ぎょ,ご,ふせ
禧	き,さいわ
禨	き,け,きざし
禩	し
禪	ぜん,せん,しずか,ゆず
禫	たん,どん,まつり
禮	れい,らい
禯	ちょう,じょう,にゅ,まつり
禰	ね,でい,ない
禱	とう,いの,まつ
禳	じょう,はら
禴	やく,よう,まつり
禸	じゅう,にゅ,あしあと
禹	う
禺	ぐ,ぐう,おながざる
离	ち,り
禽	きん,とり,とりこ
禾	か,いね
禿	とく,ちび,かむろ,は,はげ
秀	しゅう,ひい
私	し,わたくし,わたし
秂	じん,にん
秄	し,つちか
秇	げい,うん,う,のり,わざ
秈	せん,うるち
秉	へい,と
秊	ねん,とし
秋	しゅう,あき,とき
种	ちゅう,おさない
秏	こう,かい,ぼう,もう
科	か
秒	びょう
秔	こう,うるち,ぬか
秕	ひ,しいな
秖	し,みの
秘	ひ,ひそ,かく
秚	はん,やわ
秝	れき,りゃく,なら
秞	ゆう,ゆ,しげ
租	そ
秠	ひ,ふう,ふ,ひゅう,ひゅ,くろきび
秡	はつ,ばち
秢	れい,りょう,よわい
秣	まつ,ばつ,まぐさ,まぐさかう
秤	しょう,ひん,びん,はかり
秥	でん,ねん,いね
秦	しん,はた
秧	おう,なえ
秩	ちつ
秪	ち,みの
秫	じょつ,しゅつ,ちゅつ,もちあわ,おけら
秬	きょ,くろきび
秭	し
称	しょう,たた,とな,あ,かな,はか
秱	とう,ず
秸	かつ,けち,かい,わら
移	い,うつ
秼	しゅ,のろ
稀	き,け,まれ,まばら
稂	ろう,りょう,いぬあわ
稃	ふ,ふう,もみがら
稇	こん,う,くく
稈	かん,わら
稉	こう,うるち,ぬか
稊	てい,だい,いぬびえ
程	てい,ほど
稌	と,ず,しょ,いね
稍	そう,しょう,やや,ようやく
税	ぜい
稑	りく,ろく,わせ
稔	ねん,じん,にん,みの,みのり
稕	しゅん,わらたば
稗	はい,ひ,ひえ
稘	き
稙	しょく,ちょく
稚	ち,じ,いとけない,おさない,おくて,おでる
稛	こん,きん,くん,くく
稜	りょう,ろう,いつ,かど
稞	か,げ,ら,むぎ
稟	りん,ひん,こめぐら
稠	ちゅう,ちょう,おお,し
稡	そつ,そち,さい,せ,あつ
稧	けい,けつ,けち,わら,みそぎ
稫	ひょく,ひき,しげ
稭	かつ,けち,かい,わら
種	しゅ,たね,ぐさ
稯	そう,す,たば
稰	しょ
稱	しょう,たた,とな,あ,かな,はか
稲	とう,て,いね,いな
稴	れん,けん,かん,うるち
稵	し,しゅう,う,ま,ます
稷	しょく,きび
稸	きく,こく,ちく,とく,つ,たくわえ
稹	しん,てん,へん,しげ
稺	ち,じ,いと,おさな,おくて,おご
稻	とう,て,いね,いな
稼	か,かせ
稽	けい,かんが,とど
稾	こう,わら,したがき
稿	こう,わら,したがき
穀	こく
穂	すい,ほ
穃	よう
穄	せい,さい,くろきび
穅	こう,ぬか,むな
穆	ぼく,もく,やわ
穇	さん,しん,ひえ
穈	ぼん,もん,び,み
穉	ち,じ,いと,おさ,おく,おご
穌	そ,かきあつ
積	せき,つ,づ
穎	えい,ほさき,のぎ
穏	おん,おだ
穐	しゅう,あき,とき
穕	しょう
穖	き,け
穗	すい,ほ
穙	ほく,しげ
穜	とう,ず,しょう,しゅ,おくて
穝	さい
穟	すい,ほ
穠	じょう,にゅ,しげ
穡	しょく
穢	あい,え,わい,けが
穣	じょう,わら,ゆたか
穥	よ,う
穧	せい,ざい,し,かりいね
穩	おん,おだ
穪	しょう,たた,とな,あ,かな,はか
穫	かく
穭	りょ,ろ
穰	じょう,わら,ゆたか
穴	けつ,あな
穵	あつ,えち,あな
究	きゅう,く,きわ
穸	せき,じょく,きゅう,よ
穹	きゅう,きょう,あめ,そら
空	くう,そら,あ,から,す,むな
穽	せい,おとしあな
穾	よう,ふか
穿	せん,うが,は
窀	ちゅん,とん,たん,あつ
突	とつ,か,つ
窂	ろう,み,おり
窃	せつ,ぬす,ひそ
窄	さく,すぼ,つぼ,せま
窅	よう,おう,べん,めん
窆	びん,ほう,へん,ほうむ
窈	よう
窊	わ,え,ゆ,くぼ
窋	ちゅつ,たつ,たち
窐	けい,け,わ,え,こう,うつろ
窑	よう,かま
窒	ちつ
窓	そう,す,まど,てんまど,けむだし
窔	よう,ふか
窕	ちょう,よう,うつく
窖	こう,きょう,あなぐら
窗	そう,す,まど,てんまど,けむだし
窘	きん,たしな,くるし
窞	たん,どん,らん,あな
窟	くつ,こつ,いわや,いはや,あな
窠	か,す
窣	そつ,そち
窩	か,わ,むろ
窪	わ,あ,くぼ
窬	ゆ,とう,ず,くぐりど
窮	きゅう,きょう,きわ
窯	よう,かま
窰	よう,かま
窳	わ,え,ゆ,くぼ
窵	ちょう,とう,おくふか
窶	ろう,く,る,や
窹	ご,かまど
窺	き,うかが,のぞく
窻	そう,す,まど,てんまど,けむだし
窼	そう,しょう,ねぐら
窿	りゅう
竃	そう,かまど,かま,へっつい
竄	ざん,さん,かく,のが
竅	きょう,あな
竆	きゅう,きょう,きわ
竇	とう,とく,あな
竈	そう,かまど,かま,へっつい
竉	ろう,る,あな
竊	せつ,ぬす,ひそ
立	りつ,りゅう,りっとる,た,たて,だ
竌	しょ,ただ
竍	でかりっとる
竎	ふう,ふ,のぼ
竏	きろりっとる
竑	こう,おう,ひろ
竒	き,く,あや,くし,めずら
竓	みりりっとる
竕	でしりっとる
站	たん,た,たたず,えき
竚	ちょ,たたず
竛	れい,りょう,いく
竜	りゅう,りょう,ろう,たつ,いせ
竝	へい,ほう,な,なら
竟	きょう,けい,おわ,ついに,わた
章	しょう
竡	へくとりっとる
竢	し,まつ
竣	どう,しゅん,わらわ,わらべ,おわ
童	どう,わらべ
竦	しょう,すく,おそ,つつし
竨	ちょう,たかくけ
竩	ぎ,よしみ,よい
竪	じゅ,たて,た,こども
竫	せい,じょう,やす
竬	く,た
竭	けつ,つく
端	たん,はし,は,はた,ばた,はな
竰	せんちりっとる
竱	せん,てん,たん,ひと,ひとしく
竴	しゅん,よろこ
競	きょう,けい,きそ,せ,くら
竸	きょう,けい,きそ,せ,くら
竹	ちく,たけ
竺	じく,ちく,とく
竻	ろく,きん,こん,すじ
竽	う,ふえ
竾	ち,し,ふえ
竿	かん,さお
笂	うつぼ
笄	けい,こうがい
笆	は
笇	さん,かぞ
笈	きゅう
笊	そう,ざる,す
笋	じゅん,しゅん,いん,たけのこ,たかんな
笏	こつ,しゃく
笑	しょう,わら,え
笔	ひつ,ふで
笘	せん,ちょう
笙	しょう,そう,ふえ
笛	てき,ふえ
笞	ち,むち,しもと
笟	こ,たが
笠	りゅう,かさ
笣	ほう,ひょう,こう,きょう
笥	す,し,け,はこ
符	ふ
笧	さく,しがら
笨	ほん,あら
笩	はい,とびあ
笪	たん,たつ,たち,う
笫	し,しつ,しち,ゆか
第	だい,てい
笭	れい,りょう,ちりよけ
笮	さく,しゃく,せま
笯	ど,ぬ,だ,な,とりかご
笰	ふつ,ふち,ひ,おお
笱	こう,く
笳	か,あしぶえ
笴	か,こう,かん,やがら
笵	はん,ぼん,のり
笶	し
笹	ささ
笽	みん,そうけ,ざる
笿	らく,わんかご,たば,つか
筀	けい,け,たけ
筁	きょく,こく,かいこの
筅	せん,ささら
筆	ひつ,ふで
筇	きょう,く,たけ
筈	かつ,はず,やはず
等	とう,ひと,など,ら
筋	きん,すじ
筌	せん,うけ,うえ
筍	じゅん,しゅん,いん,たけのこ,たかんな
筎	じょ,にょ,まきはだ
筏	ばつ,はつ,ぼち,いかだ
筐	きょう,かたみ,かご,はこ
筑	ちく
筒	とう,つつ
答	とう,こた
筕	こう,ぎょう,ぐう,たけむしろ
策	さく
筝	そう,しょう,こと
筠	いん,うん,たけ
筤	ろう,りょう,かご
筥	きょ
筦	かん,ふえ,くだ
筧	けん,かけひ
筩	とう,ず,よう,ゆ
筪	こう,ぎょう,たけ
筬	せい,おさ
筭	さん,そろばん,かぞ
筮	ぜい,せい,うらな,めどぎ
筯	ちょ,じょ,はし
筰	さく,しゃく
筱	ぞう,しょう,しの
筲	そう,しょう,さく,かご
筳	てい,ちょう,じょう,いとくだ
筴	きょう,さく,めどぎ
筵	えん,むしろ
筷	かい,はし
筺	きょう,かたみ,かご,はこ
筿	しょう,しの
箄	はい,ひ,へき,へい,びゃく,かご
箆	へい,はい,へら,の,くし
箇	か,こ
箉	かい,げ
箋	せん,ふだ
箍	こ,たが
箎	こ,く,ち,じ
箏	そう,しょう,こと
箐	せい,しょう,せん
箑	そう,しょう,おうぎ
箒	そう,しゅう,ほうき
箔	はく,すだれ
箕	き,み
箖	りん,たけ
算	さん,そろ
箘	きん
箙	ふく,えびら
箚	とう,さつ,ちょう,さ
箛	こ,く,ふえ
箜	く,こう
箝	かん,けん,す,くびかせ,はさ
箞	けん,たわ
箟	きん
箠	すい,たけ
管	かん,くだ
箥	は
箪	たん,はこ
箬	じゃく,じょく,にゃく,ひゃく,たけのかわ
箭	せん,や
箯	へん,たけごし
箰	しゅん,いん,たけのこ,たかんな
箱	そう,はこ
箲	せん,ささら
箴	しん,いまし,はり
箵	せい,しょう
箶	こ,たけ
箸	ちょ,ちゃく,はし
箺	しゅん,たけ
箻	りつ
箼	おく,しげ
箽	とう,つ,たけ
節	せつ,せち,ふし,ぶし,のっと
篁	こう,たかむら
篂	せい,しょう
範	はん
篅	すい,せん,てん,たん,ざる
篆	てん
篇	へん
篈	ほう,ふ
築	ちく,きず
篊	こう,ぐ,とい
篋	きょう,はこ
篌	ご,こう
篏	かん,は,あな
篔	うん,えん,たけ
篖	とう
篗	わく,いとわく
篙	こう,さお
篚	ひ,はこ
篛	じゃく,じょく,にゃく,ひゃく,たけのかわ
篝	こう,かがりび,かがり,ふせご
篠	ぞう,しょう,しの,ささ,すず
篤	とく,あつ
篥	りき,りつ,りち
篦	へい,はい,へら,の
篨	ちょ,じょ,たけむしろ
篩	し,さい,ふる
篪	ち,し,ふえ
篭	ろう,る,かご,こ,こも
篲	すい,え,けい,せい,ほうき
篳	ひち,ひつ,まがき
篴	てき,ちゃく,ちく,じく,ふえ
篵	そう,す
篶	えん,くろだけ,すず
篷	ほう,とま
篸	しん,さん,そろわない
篹	さん,ぜん,かたみ
篺	はい,ひ,へん,べ,いかだ
篼	とう,つ,かいばおけ
篾	べつ,めち
簀	さく,じゃく,せき,す
簁	し,さい,ふる
簂	け,かく,かたみのもの
簃	い,ち,じ,わきべや
簄	こう,こ
簆	こう,く,おさ
簇	ぞく,そう,そく,むら
簉	しゅう,しゅ,そ
簋	き
簌	そく,ふる
簍	る,ろう
簎	さく,しゃく,せき,やす
簏	ろく,はこ
簑	さ,さい,みの
簒	さん,せん,うば
簓	ささら
簔	さ,さい,みの
簗	りょう,やな
簙	はく,すごろく
簛	し,ふる
簞	たん,はこ
簟	たん,てん,たかむしろ
簠	ふ
簡	かん,けん,えら,ふだ
簣	き,もっこ,あじか
簥	きょう
簦	とう,かさ
簧	こう,した
簨	しゅん,さん,ぜん,よこぎ
簪	しん,さん,かんざし
簫	しょう,ふえ
簬	ろ,る,たけ
簱	き,はた
簳	かん,しの,やがら
簴	きょ,ご
簶	ろく
簷	えん,ひさし
簸	は,ひ
簹	とう,たけ
簺	さい,そご,ふだ
簽	せん,かご
簾	れん,すだれ,す
簿	ぼ
籀	ちゅう,しゅう,じゅ,よ
籃	らん,かご
籆	わく,いとわく
籊	てき,ちゃく
籌	ちゅう,かずとり,はかりごと
籍	せき
籏	き,はた
籐	とう
籑	せん
籒	ちゅう,しゅう,じゅ,よ
籓	はん,ほん
籔	そう,やぶ
籕	りゅう
籖	せん,くじ,かずとり
籘	とう
籙	りょく,ろく,ほんばこ
籚	ろ,る,え,かご
籛	せん,さん,たけ
籜	たく,たけのかわ
籝	えい,よう,かご,はしづつ
籞	ぎょ,ご,とめば
籟	らい,ふえ
籠	ろう,る,かご,こ,こも
籡	しんし
籣	らん,えびら
籤	せん,くじ,かずとり
籥	やく,ふえ
籧	きょ,ご
籩	へん,たかつき
籬	り,まがき,かき
籭	し,さい,ふる
籮	ら,み
籰	わく,よく,いき,いとわく
籲	ゆ,やく,よ
米	べい,まい,めえとる,こめ,よね
籵	でかめえとる
籹	じょ,にょ
籼	せん,うるち
籽	し
籾	もみ
粁	きろめえとる
粂	くめ
粃	ひ,しな,しいな
粆	さ,しゃ,しょう
粇	こう,ぬか,むな
粉	ふん,でしめえとる,こ,こな
粋	すい,いき
粍	みり,みりめえとる
粏	た,ぬかみそ
粐	ろ,こ,ぬか
粒	りゅう,つぶ
粔	きょ,ご
粕	はく,かす
粗	そ,あら
粘	ねん,ねば
粛	しゅく,すく,つつし
粞	せい,さい,こごめ
粟	ぞく,しょく,そく,あわ,もみ
粠	こう,すくも
粡	とう
粢	し,しとぎ
粤	えつ,ここに
粥	いく,しゅく,じゅく,かゆ,かい,ひさ
粦	りん
粧	しょう
粨	へくとめえとる
粫	うるち,じ,めん
粭	すくも
粮	りょう,ろう,かて
粰	ふう,ふ,おこし,かゆ,もみがら,か
粱	りょう,あわ
粲	さん,いい
粳	こう,うるち,ぬか
粶	ろく,はぜこめ
粷	きく,こく,こな
粹	すい,いき
粺	はい,は,べ,しらげよね
粻	ちょう,とう,じょう,かて
粼	りん,せせらぎ
粽	そう,ちまき
精	せい,しょう,しら,くわ
粿	か,げ,しらげよね
糀	こうじ
糂	じん
糄	へん,こめ,やきごめ
糅	じゅう,ま
糇	こう,ぐ,ほしいい
糈	しょ,かて
糉	そう,ちまき
糊	こ,ご,こつ,のり
糍	し
糎	せんち,せんちめえとる
糏	せつ,せち,そつ,そち,こごめ
糒	び,はい,ほしい
糓	こく
糔	しゅう,しゅ,そう,しる
糕	こう,こなもち
糖	とう
糗	きゅう,く,しょう,いりごめ
糘	すくも
糙	そう,くろごめ
糚	そう,しょう,よそう
糜	び,ただ
糝	さん,しん,こながき
糞	ふん,くそ
糟	こう,そう,ぬか
糠	こう,ぬか
糢	ぼ,も,かた,のっとる
糦	し,き,さけさかな,む
糧	りょう,ろう,かて
糩	かい,け,ぬか
糫	かい,げん,かん,もち,おこし
糯	だ,な,もちごめ
糲	れい,らつ,あら,くろごめ
糴	ちょう,てき,う,せり,かいよね
糵	げつ
糶	ちょう,せり,うりよね
糸	し,いと
糺	きゅう,ただ,あざな
系	けい
糾	きゅう,ただ
紀	き
紂	ちゅう,しりがい
紃	しゅん,せん,ひも
約	やく,つづ,つづま
紅	こう,く,べに,くれない,あか
紆	う,まが,めぐ
紇	こつ,ごち,けつ,げち
紈	かん,しろぎぬ,むすぶ,かさ
紉	じん,にん,きん,こん,なわ
紊	びん,ぶん,みだ
紋	もん
納	のう,なっ,な,なん,とう,おさ
紏	とう,つ
紐	ちゅう,じゅう,ひも
紑	ふう,ふ,はい,あざ
紒	けい,けつ,けち,かい,ゆう,むす
紓	しょ,ゆる
純	じゅん
紕	ひ
紖	ちん,じん,いん
紗	さ,しゃ,うすぎぬ
紘	こう,おおづな,つな,つなぐ
紙	し,かみ
級	きゅう
紛	ふん,まぎ
紜	うん,みだ
紝	じん,にん,はたいと
紞	たん,とん,ひも
素	そ,す,もと
紡	ぼう,つむ
索	さく
紣	さい,すい,しゅつ,しゅち
紦	は,きぬ
紪	せい,さい,きぬのあや
紫	し,むらさき
紬	ちゅう,つむぎ,つむ
紭	こう,ぎょう,あみのつな,か
紮	さつ,からげる
累	るい
細	さい,ほそ,こま
紱	ふつ,ふち,ひも
紲	せつ,きずな
紳	しん
紵	ちょ
紹	しょう
紺	こん
紼	ふつ,ふち,ひ,つな
紽	た
紾	しん,てん,もと
紿	たい,あざむ
絀	ちゅつ,ちゅち,あか
絁	し,つむぎ
終	しゅう,お,おわ,つい
絃	げん,いと
組	そ,く,くみ,ぐみ
絅	けい,ひ
絆	はん,きずな,ほだ,つな
絇	く,くつかざり
絈	ばつ,めち,は,へ,はく,みゃく
絋	こう
経	けい,きょう,きん,へ,た,たていと
絍	じん,にん,はたいと
絎	こう,く
絏	せつ
結	けつ,けち,むす,ゆ
絑	しゅ,ちゅ
絓	かい,げ,か,わ,つむぎ
絖	こう,ぬめ,わた
絗	こつ,ごち,いとがめぐ
絙	かん,こう,くみひも
絚	こう
絛	じゅう,じょう,とう,さなだ
絜	けつ,けち,けい,かつ,あさ,たば
絝	こ,く,はかま,ずぼん
絞	こう,しぼ,し
絡	らく,から
絢	けん
絣	ほう,かすり
絥	ふく,ひ
給	きゅう,たま,たも
絧	とう,ず,ぬの
絨	じゅう
絪	いん
絮	じょ,しょ,わた
絰	てつ,でち
統	とう,す
絲	し,いと
絳	こう,あか
絵	かい,え
絶	ぜつ,た
絸	けん,まゆ,きぬ
絹	けん,きぬ
絺	ち,ほそぬの
絻	ぶん,もん,べん,めん,ばん,まん
絽	ろ,りょ
絿	きゅう,く,きび
綁	ほう,しばる
綂	とう,すべ
綃	しょう,そう,きいと
綅	しん,せん,いと
綆	こう,きょう,へい,ひょい,はん,つるべなわ
綈	てい,たい,つむぎ
綉	しゅう,つ,とう
綋	こう,おおづな,つな
綌	けき,きゃく,くずぬの
綍	ふつ,ふち,ひ,ひつぎなわ
綏	すい,た,やす
綑	こん,お
經	けい,きょう,へ,た,たていと,はか
綖	えん,せん
綗	けい,ひ
継	けい,つ,まま
続	ぞく,しょく,こう,きょう,つづ,つぐ
綛	かせ,かすり
綜	そう,おさ,す
綝	ちん,りん,しん,と
綞	た,あや
綟	れい,もじ
綠	りょく,ろく,みどり
綢	ちゅう,とう,まとう
綣	けん
綦	き,あやぎぬ
綧	しゅん,みだ
綪	せん,せい,しょう,そう
綫	せん,すじ
綬	じゅ,ひも
維	い
綮	けい
綯	とう,な,なわ,よ
綰	わん,わが,たが,たか
綱	こう,つな
網	もう,あみ
綳	ほう,ひょう,ま,たば
綴	てい,てつ,てち,げつ,と,つづ
綵	さい,あや,あやぎぬ
綶	か,くわ,まとう
綷	さい,すい,しゅつ,しゅち
綸	りん,かん,いと
綹	りゅう,る,いと
綺	き,あや
綻	たん,ほころ
綽	しゃく,あだ,しな,ゆる
綾	りん,あや
綿	めん,わた
緂	たん,せん,さん,あざ
緃	しょう,しゅ,いろぎぬ
緄	こん,おび
緅	しゅう,しゅ,そう,す
緆	せき,しゃく,い,ほそぬの
緇	し,くろ
緊	きん,し
緋	ひ,あけ,あか
緌	ずい,に,かんむりのひも
緍	びん,こん,みん,さし,つりいと,なわ
緎	よく,いき,きょく,こく,いく,ぬいかがり
総	そう,す,すべ,ふさ
緑	りょく,ろく,みどり
緒	しょ,ちょ,お,いとぐち
緕	かすり
緖	しょ,ちょ,お,いとぐち
緗	しょう,そう,あさぎ
緘	かん,と
緙	かく,きゃく,ぬ
線	せん,すじ
緜	めん,わた,つら
緝	しゅう,つむ
緞	どん,たん
締	てい,し,じ
緡	びん,こん,みん,さし,つりいと,なわ
緢	ぼう,みょう,びょう
緣	えん,ふち,へり,よる
緤	せつ,せち,きずな,つな
緥	ほ,ほう,むつき
緦	し,ぬの
編	へん,あ
緩	かん,ゆる
緪	こう
緫	そう,す,すべ,ふさ
緬	めん,べん
緭	い,き,きぬ,うちひも,ひも
緯	い,よこいと,ぬき
緱	こう,く,つか
緲	びょう,みょう
練	れん,ね
緵	そう,す,いと
緶	へん,と
緹	てい,たい,あかぎぬ
緺	かい,け,か,ら
緻	ち,こまか
縀	か,げ,くつ
縁	えん,ねん,ふち,ゆかり,よすが,へり
縄	じょう,なわ,ただ
縅	おど
縈	えい,よう,めぐ
縉	しん,さしはさ
縊	い,えい,くび
縋	つい,すが
縐	しゅう,しゅ,す,しゅく,ちぢみ
縑	けん,きぬ
縒	し,さ,よ
縕	うん,おん,ふる
縗	さい,すい,さ
縛	ばく,しば
縜	いん,うん,ほそひも
縝	しん,ちん,あさいと
縞	こう,しま,しろぎぬ
縟	じょく,しげし
縠	こく,もじり,ちりめん
縡	さい,こと
縢	とう,かが,かな,から,むかばき
縣	けん,か
縦	じゅう,たて
縧	じゅう,じょう,とう,さなだ
縨	こう,ほろ,とばり
縫	ほう,ぬ
縬	しゅく,ちぢ,ちぢみあや,きぬのあや
縭	り,ち,かぎ
縮	しゅく,ちぢ
縯	えん,いん,なが
縱	じゅう,たて
縲	るい
縳	てん,せん,けん,しろぎぬ
縵	まん,ばん
縶	ちゅう,しょう,つな
縷	る,ろう,いと
縹	ひょう,はなだ
縺	れん,もつ
縻	び,み,きずな
總	そう,す,すべ,ふさ
績	せき
縿	さん,せん,しょう,そう,はたあし
繁	はん,しげ
繃	ほう,ひょう,まく,たば
繄	えい,い,ほこぶくろ
繅	そう,くる
繆	びゅう,きゅう,ぼく,りょう,あやま,まと
繇	よう,ゆう,ゆ,ちゅう,じゅ,したが
繊	せん
繋	けい,つな,かか,か
繍	しゅう,ぬいとり
繎	びん,ねん,もつ,いとのもつれ,くれない
繐	けい,え,せい,さい
繒	しょう,そう,きぬ
織	しょく,しき,お,おり
繕	ぜん,つくろ
繖	さん
繘	きつ,いつ,いち,きち,つるべなわ
繙	はん,ほん,ひもと
繚	りょう,まと,めぐ
繝	かん,けん
繞	じょう,にょう,めぐ,まわ,もとう,まとう
繟	せん,たん,ゆる
繡	しゅう,ぬいとり
繢	かい,こつ,ごち,き,おりあまり
繥	き,わら,たの
繦	きょう,むつき,ぜにさし
繧	うん
繩	じょう,なわ,ただ
繪	かい,え
繫	けい,つな,かか,か
繭	けん,まゆ,きぬ
繮	きょう,こう,たづな
繯	けん,かん,から
繰	そう,く
繳	しゃく,きょう,かく,ぎゃく,かえ
繸	すい,ひも
繹	えき,やく,たずね,ぬ
繻	しゅ,うすぎぬ
繼	けい,つ,まま
繽	ひん,おおし
繾	けん,てん,きん,てあつい
繿	らん,ぼろ
纁	くん,うすいあかいろ
纂	さん,あつ
纃	かすり
纆	ぼく,もく,なわ
纇	らい,ふしいと
纈	けつ,けち,しぼり
纉	さん,さぶ,つ
纊	こう,ぬめ,わた
續	ぞく,しょく,こう,きょう,つづ,つぐ
纍	るい,らい,つづ
纎	せん
纏	てん,でん,まつ,まと
纐	こう
纑	ろ,る,ぬのいと
纒	てん,まつ,まと
纓	えい,よう
纔	さん,ざん,さい,わずか,ひたた
纕	しょう,そう,うでまくり
纖	せん
纘	さん,さぶ,つ
纚	し,り,さい,しゃ,かみづつみ,つづ
纛	とう,とく,はたぼこ,おにがしら
纜	らん,ともづな
纝	るい,まと,から,くろなわ
纞	れん,つづ
缶	かん,かま
缸	こう,かめ
缺	けつ,けん,か
缻	かん,かま
缼	けつ,けん,か
缽	はち,はつ
缾	へい,びん
缿	とう,ず,こう,ぐ,ぜにがめ
罃	おう,よう
罄	けい,きょう,むな
罅	か,け,ひび,すき
罇	そん,かめ
罌	おう,えい,よう,もたい,ほとぎ,かめ
罍	らい,さかだる
罎	どん,たん,びん
罏	ろ,る,さかだ
罐	かん,かま
网	もう,ぼう,あみ
罒	もう,ぼう,あみがしら,よこめ
罓	もう,ぼう,あみがしら,よこめ
罔	もう,ぼう,あみ,しい,ない
罕	かん,まれ
罘	ふ,うさぎあみ
罛	こ,ろ,く,うおあみ
罜	しゅ,とく,あみ
罝	しゃ,しょ,あみ
罟	こ,あみ
罠	びん,みん,わな,あみ
罡	こう
罣	かい,け,けい,か
罤	てい,だい,こん,いさぎあみ,あに
罥	けん,か
罦	ふ,ふう,あみ
罧	りん
罨	あん,えん,あみ
罩	とう,こめ
罪	ざい,つみ
罫	けい,かい,け
罭	よく,いき,きょく
置	ち,お
罰	ばつ,ばち,はつ,ばっ
罱	だん,ぐん,なん,らん
署	しょ
罵	ば,ののし
罷	ひ,まか,や
罸	ばつ,ばち,はつ,はっ
罹	り,ら,かか
罽	けい,うおあみ
罾	そう
罿	しょう,しゅ,とう,ず,むそうあみ
羀	りゅう,る,やな,うえ,うけ
羂	けん,わな
羃	べき
羅	ら,うすもの
羆	ひ,ひぐま,しぐま
羇	き,は,おもが,たづな,たび,つな
羈	き,は,おもが,たづな,たび,つな
羊	よう,ひつじ
羋	ば,め,ま,び,み
羌	きょう,ああ,えびす
羍	たつ,たち
美	び,み,うつく
羏	よう,よい,うるわ
羐	ゆう,ゆ,みちび,いざな,すす
羑	ゆう,ゆ,みちび,いざな,すす
羔	こう,こひつじ
羖	こ,く,ひつじ
羗	きょう,ああ,えびす
羚	れい,りょう,かもしか
羜	ちょ,しょ,こひつじ
羝	らん,てい,おひつじ
羞	しゅう,はじ,すすめ,は
羡	い,せん,えん,うらや,あまり
羢	じょう,にゅ
羣	ぐん,む,むれ,むら
群	ぐん,む,むら
羦	かん
羨	せん,えん,うらや,あまり
義	ぎ
羪	よう,りょう,やしな
羭	ゆ
