㒵	かお
傢	か,かぐ
傪	さん,よい
催	さい,もよう,もよお
傭	よう,ちょう,やと,あた,ひと
傯	そう,くる
傰	ほう,とも,ともがら,おもねりくみ
傱	しょう,しゅ,そう,はやいさま
傲	ごう,おご,あなど
傳	てん,でん,つた,つて
傴	く,う,かが,せむし
債	さい
傷	しょう,きず,いた
傹	けい,きょう,りょう,おう,ごう,こう
傺	てい,たい,と,とど
傻	さ
傽	しょう,おどろ
傾	けい,かたむ,かたぶ,かた,かし
僀	てい,たい,すぐ,くる
僂	ろう,る,かが
僃	び,そな
僄	ひょう,かる,かろ,すばや
僅	きん,ごん,わず
僇	りく,ろく,る,はじ,はずかし
僉	せん,みな
僊	せん
僌	よう,おさ
働	どう,はたら
僎	せん,しゅん,そな,かず,かぞ
像	ぞう
僐	せん,おつくり
僑	きょう
僓	たい,かい,え,て,なら,みや
僔	そん,あつ,おお,うやうや
僕	ぼく,しもべ
僖	き,よろこ
僘	しょう,たか,ほが,ひろ
僙	こう,たけだけしいさま
僚	りょう
僜	とう,と,しょう,ちょう,のぼ,あ
僝	さん,ぜん,そな,ののし,あらわ
僞	ぎ,か,いつわ,にせ
僟	き,げ,よくつつし,ちか
僢	せん,しゅん,そむ,むかいあ,ま
僣	しん,せん,おご
僤	たん,せん,たつ,たち,はや,あつ
僥	ぎょう,きょう
僦	しゅう,しゅ,か,おく,あつ
僧	そう
僨	ふん,ほん,たお,お,やぶ
僩	かん,げん,たけだけ
僭	しん,せん,おご
僮	とう,どう,しもべ,わらべ
僯	りん,はじ
僱	こ,やと
僵	きょう,たお
僶	びん,みん,つと
價	か,け,あたい
僺	しょう,なが
僻	へき,ひ,へい,ひが
僾	あい,ほの,かく,むせ,かな
儀	ぎ
儁	しゅん,すぐ
儂	どう,のう,わし,かれ
儃	せん,たん,たたず,よう,ほしいまま
億	おく
儆	けい,しょう,いまし
儇	けん,かしこ,あざむ,さとい,まと
儈	かい,け,なかがい
儉	けん,つま,つづまやか
儋	たん,せん,にな,こがめ
儌	きょう,ゆ,うかが,もと,いつわ
儍	さ
儎	さい,の
儐	ひん,すす,うやま,あいさつ
儒	じゅ
儔	ちゅう,じゅ,ともがら
儕	せい,さい,ともがら
儖	らん
儗	ぎ,かい,なぞら,くら
儘	じん,まま,ことごとく
儙	けん,ひら
儚	ぼう,もう,はかな,くら
儛	ぶ,む,ま
儜	どう,にょう,ねい,なや,よわ
儝	けい,まつ
儞	じ,に,なんじ,しかり,その,のみ
償	しょう,つぐな
儡	らい
儣	こう
儧	さん,あつ
儨	しつ,しち,ただ
優	ゆう,う,やさ,すぐ,まさ
儬	しん
儭	しん,いた,ちか,おそ,うら,しく
儯	とう,なが
儱	ろう,る,りょう,りゅ,できあ,うやむや
儲	ちょ,もう,もうけ,たくわ
儳	さん,ととのわぬ,はや,わる
儴	しょう,そう,よ,さまよ
儵	しゅう,はや
儷	れい,つれあい,ならぶ
儸	ら,さば
儹	さん,あつ
儺	な,だ,おにやらい
儻	とう,あるいは,すぐ,もし
儼	げん,いかめ,おごそか
儿	じん,にん,がい
兀	こつ
允	いん,じょう,まこと,ゆるす
兂	しん,さん,かんざし
元	げん,がん,もと
兄	けい,きょう,あに
充	じゅう,あ,み
兆	ちょう,きざ
兇	きょう,おそ,わる
先	せん,さき,ま
光	こう,ひか,ひかり
兊	だ,えい,えつ,たい,よろこ
克	こく,か
兌	だ,えい,えつ,たい,よろこ
免	めん,まぬか,まぬが
兎	と,つ,うさぎ
兏	ちょう,なが,おさ
児	じ,に,げい,こ,っこ
兒	じ,に,げい,こ
兓	しん,さん,するど,たす
兔	と,つ,うさぎ
兕	し
兗	えん,くく,ただ,まこと
兘	し,はじ
党	とう,なかま,むら
兜	とう,と,かぶと
兟	しん,すす
兢	きょう,おそ,つつ
兤	こう,あか
入	にゅう,じゅ,い,はい
兦	ぼう,もう,な,ほろ
全	ぜん,まった,すべ
兩	りょう,ふたつ
兪	ゆ,しかり
八	はち,はつ,や,やっ,よう
公	こう,く,おおやけ
六	ろく,りく,む,むっ,むい
兮	けい
共	きょう,とも,ども
兵	へい,ひょう,つわもの
其	き,ぎ,ご,それ,その
具	ぐ,そな,つぶさ
典	てん,でん,ふみ,のり
兼	けん,か
兾	き,こいねが
冀	き,こいねが
冂	きょう,けい
冃	ぼう,もう,ずきん,おお
冄	ぜん,ねん,あや
内	ない,だい,うち
円	えん,まる,まど,まろ
冉	ぜん,ねん,あや
冊	さつ,さく,ふみ
冋	きょう,けい,まきがまえ,えながまえ,どうがまえ,けいがまえ
册	さつ,さく,ふみ
再	さい,さ,ふたた
冎	か,け,わ,さ
冏	けい,きょう,そう,あきらか
冐	ぼう,おか
冑	ちゅう,かぶと,よろい
冒	ぼう,おか
冓	こう,かま
冕	べん,めん,かんむり
冖	べき
冗	じょう
冘	いん,ゆ,おこた,ためら,うたが
写	しゃ,じゃ,うつ
冝	ぎ,よろ
冠	かん,かんむり
冡	ぼう,も,おお
冢	ちょう,つか,おお
冣	さい,しゅ,もっと,つま
冤	えん
冥	めい,みょう,くら
冦	こう,あだ
冨	ふ,ふう,と,とみ
冩	しゃ,うつ
冪	べき
冫	ひょう,こおり
冬	とう,ふゆ
冭	たい,たつ,たち,た,なめ
冰	ひょう,こおり,ひ,こお
冱	ご,こ,さ,こお,ひ
冲	ちゅう,おき,おきつ,わく
决	けち,けつ,き,さ
冴	ご,こ,さ,こお,ひ
况	きょう,まし,いわ,おもむき
冶	や,い
冷	れい,つめ,ひ,さ
冸	はん,と
冺	びん,べん,みん,めん,ほろ
冼	しょう,さむ
冽	れつ,れい,きよ
冾	きょう,やわ
冿	せん,すす
凂	ばい
凄	せい,さい,さむ,すご,すさ
凅	こ,かく,か,こお
准	じゅん
凈	そう,しょう,ひややか
凉	りょう,すず,うす,ひや,まことに
凊	せい,さむ,すず
凋	ちょう,しぼ
凌	りょう,しの
凍	とう,こお,こご,い,し
减	げん,へ
凑	そう,みなと,あつ
凒	ぎ,げ,かい,しろ,さむ
凓	りつ,りち,さむ
凕	べい,みょう,こお
凖	じゅん,なぞら,のり,ひと,みずもり
凘	し,せい,さい
凛	りん,きびし
凜	りん,きびし
凝	ぎょう,こ,こご
凞	き,やわ
几	き,きにょう
凡	ぼん,はん,およ,おうよ,すべ
凢	ぼん,はん,およ,おおよ,すべ
凥	きょ,こ,い,お
処	しょ,ところ,こ,お
凧	いかのぼり,たこ
凩	こがらし
凪	なぎ,な
凭	ひょう,へい,もた,よ
凮	ふう,ふ,かぜ,かざ
凰	こう,おう,おおとり
凱	がい,かい,かちどき,やわらぐ
凲	かん,けん
凳	とう,こしか
凴	ひょう
凵	かん
凶	きょう
凷	かい,け,かた,つちくれ
凸	とつ,でこ
凹	おう,くぼ,へこ,ぼこ
出	しゅつ,すい,で,だ,い
函	かん,はこ,い
凾	かん,はこ,い
刀	とう,かたな,そり
刁	ちょう
刂	とう
刃	じん,にん,は,やいば,き
刄	じん,にん,は,やいば,き
刅	そう,しょう,つく,はじ,きず
分	ぶん,ふん,ぶ,わ
切	せつ,さい,き,ぎ
刈	がい,かい,か
刊	かん
刋	かん,せん,き,けず
刎	ふん,は,くびは
刑	けい
划	か,げ,さおさ,かま,さ
刓	がん,ぐん,けず,た,え,すりへ
刔	けつ,えぐ
刕	り,れい,らい,さ
刖	げつ,ぐち,ごつ,ごち,かつ,き
列	れつ,れ
刘	りゅう,る,ころ
初	しょ,はじ,はつ,うい,そ,ぞ
刢	れい,りょう,さ
判	はん,ばん,わか
別	べつ,わか,わ
刧	こう,ごう,きょう,おびや
刨	ほう,びょう,けず
利	り,き
刪	さん,けず
刮	かつ,こそ,けず
到	とう,いた
刱	そう,しょう,はじ,きず
刲	けい,け,さ,えぐ,ころ
刳	こ,く,えぐ
刵	じ,に,げい,みみきり
制	せい
刷	さつ,す,ず,ずり,は
券	けん
刹	せち,せつ,さつ
刺	し,さ,さし,とげ
刻	こく,きざ
刼	きょう
剃	てい,まい,そ,す
剄	けい,くびき
剅	ろう,る,とう,つ,さ
則	そく,のっと,のり,すなわち
剉	さ,くじく
削	さく,けず,はつ,そ
剋	こく,かつ
剌	らつ,もと
前	ぜん,まえ
剏	そう,しょう,はじ
剔	てき,てい,えぐ,そ
剕	ひ,あしき
剖	ぼう
剗	さん,せん,けず
剘	き,まこと,ただ,さ
剚	し,さ,さしこ,お
剛	ごう
剜	わん,けず,えぐ
剝	はく,ほく,へ,へず,む,は
剞	き,きざ
剟	てつ,てち,たつ,たち,けず,さきと
剠	けい,しょう,りょう,いれずみ,かすめと
剡	えん,せん,するど,するどく,けず
剣	けん,つるぎ
剤	ざい,すい,せい,かる,けず
剥	はく,ほく,へ,へず,む,は
剦	えん,あん,おお
剩	じょう,あまつさえ,あま
剪	せん,き,つ
剬	たん,せん,せい,たつ,さばく
剮	か,け,わ,さ
副	ふく
剰	じょう,あまつさえ,あま
剱	けん,つるぎ
割	かつ,わ,わり,さ
剳	とう,さつ,ちょう,さ
剴	がい,かい
創	そう,しょう,つく,はじ,きず,けず
剷	さん,せん,けず
剸	たん,せん,き,さ,た,ほしいまま
剹	りく,りゅう,ろく,きょう,く,ころ
剽	ひょう,おびや,さす
剿	そう,しょう
劀	かつ,けず
劂	けつ,くち,けい,け,けず
劃	かく,わ,くぎ
劄	さつ,とう,さす,かぎ,かま
劅	たく
劇	げき
劈	へき,ひゃく,つんざ,さく
劉	りゅう,る,ころ
劊	かい,け,かつ,た
劌	けい,け,そこ,さ,はり,とげ
劍	けん,つるぎ
劑	ざい,すい,せい,かる,けず
劒	けん,つるぎ
劓	ぎ,げい,はなき,はなきり,さ
劔	けん,つるぎ
劕	しつ,しち,ち,たち,ただ,もと
劖	さん,た,けず
劗	さん,せん,へ,き
劘	ば,ま,び,み,けず,する
劚	ちゃく,ちょう,ちょく,き
力	りょく,りき,りい,ちから
劜	あつ,えち,つよ
功	こう,く,いさお
加	か,くわ
劣	れつ,おと
劤	きん,こん,ろく,ちから
劥	こう,きょう,つよ
劦	きょう,りょう,にわか,ととの
劧	し,かた
助	じょ,たす,す,すけ
努	ど,つと
劫	こう,ごう,きょう,おびや
劬	く,つか
劭	しょう,つと
劯	しょ,つよ
劰	ばく,まく,つと
励	れい,はげ
労	ろう,いたわ,いた,ねぎら,つか
劵	けん,てがた,わりふ
劶	こう,く,つと
劷	よう,すす
劸	あい,あ,せま
効	こう,き,ききめ,なら
劺	ぼう,む,すすめはげ
劻	きょう,こう,あわ
劼	かつ,けち
劽	れつ,れち,か
劾	がい
勀	こく,つと,かつ
勁	けい,つよ
勃	ぼつ,ほつ,おこ,にわかに
勄	びん,さとい
勅	ちょく,いまし,みことのり
勆	ろう,つよ
勇	ゆう,いさ
勈	よう,いさ
勉	べん,つと
勌	けん,かん,つと,う
勍	けい,つよ
勏	ほう,ぶ,つと
勐	ばう
勑	らい,ちゃく,ちき,いたわ,ただ,おさ
勒	ろく,くつわ
勔	べん,めん,びん,みん,つと,すす
動	どう,うご
勖	きゃく,こく,ぼう,きょく,つと
勗	きょく,ぼう,つと
勘	かん
務	む,つと
勛	くん,いさお
勜	お,よう,つよ
勝	しょう,か,が,まさ,すぐ,かつ
勞	ろう,いたわ,いた,ねぎら,つか
募	ぼ,つの
勠	りく,あわ
勡	ひょう,かす
勢	せい,ぜい,いきお,はずみ
勣	せき,しゃく,いさお,つむ
勤	きん,ごん,つと,づと,いそ
勥	きょう,ごう,せま,つと
勦	そう,しょう
勧	かん,けん,すす
勨	よう,しょう,ゆる,うご
勩	えい,い,し,いたつき,つか
勪	きゃく,がく,きょう,すす
勬	けん,つと,すこ
勰	きょう,かな,あ
勱	ばい,め,つと
勲	くん,いさお
勳	くん,いさお
勴	りょ,ろ,たす
勵	れい,はげ
勶	けつ,でち,てつ,はな,とりさ
勷	じょう,にょう,はし
勸	かん,けん,すす
勹	ほう,つつ
勺	しゃく
勻	いん,すくない,ひとしい
勾	こう,く,かぎ,ま
勿	もち,ぶつ,ぼつ,なか,なし
匀	いん,すく,ひと
匁	もんめ,め
匂	にお
匃	かつ,かち,かい,こう,あた
包	ほう,つつ,くる
匆	そう,いそが
匈	きょう
匊	きく,こく,むす,すく,たなごころ
匋	とう,よう,やきもの
匌	こう,あ,めぐ
匍	ほ,は
匏	ほ,ほう,ひさご
匐	ほく,ふく
匑	きゅう,く,きく,こく,うやま
匓	きょう,く,きゅう,あつ,はか
匕	ひ,さじ
化	か,け,ば,ふ
北	ほく,きた
匘	のう,どう,のうず
匙	し,さじ
匚	ほう
匛	きゅう,ぐ,ひちぎ,ひつぎ
匜	い,た,ひさげ,はんぞう
匝	きょう,そう,めぐ
匞	しょう,たくみ
匟	こう
匠	しょう,たくみ
匡	きょう,おう,すく,ただ
匣	こう,はこ
匤	きゃく,こく,はこ
匥	へん,はこ
匧	きょう,はこ
匨	そう,くら,おさ,かく
匩	きょう,すく,ただ
匪	ひ,あら,かたみ
匫	こつ,こち,いつわ
匬	ゆ,とう,ず,ます,もたい
匭	き,こ,はこ,くく
匯	き,え,かい,わい,がい,めぐ
匰	たん,ずし,はこ
匱	き,ひつ
匲	れん,くしげ,はこ
匳	れん,くしげ,はこ
匵	とく,とう,ひつ,はこ
匸	けい
匹	ひつ,ひき
区	く,おう,こう
医	い,くすし
匼	あん,おん,こう,こびへつら,めぐ
匽	えん,かく,ふ,なび,はこ,どぶ
匾	へん,うす,ひら,がく
匿	とく,かくま
區	く,おう,こう
十	じゅう,じっ,じゅっ,とお,と,そ
卂	しん,とぶ
千	せん,ち
卅	そう,さんじゅう
卆	そつ,しゅつ,そっ,お,ついに,にわか
升	しょう,ます
午	ご,うま
卉	き,け,くさ
半	はん,なか
卋	せい,せ,そう,よ,よよ,う
